source_id,teff_gspphot,logg_gspphot,mg_gspphot,mh_gspphot,radius_gspphot,distance_gspphot,lum_flame,mass_flame,age_flame,evolstage_flame,ag_gspphot
3597981377595128704,5720.4043,4.4352,4.9653,-0.3849,0.8906,206.2918,0.8167305,1.0174059,0.8655243,130,0.0829
3608708904525885440,4967.713,4.4965,5.8232,-0.3339,0.8308,450.9856,0.3755324,,,388,0.0738
3694798019281730944,5745.532,4.397,4.6446,-0.3442,1.0215,120.3081,1.0394565,0.97922975,6.511997,307,0.0015
3803494845449564672,5637.564,4.1516,3.8448,-0.6356,1.5524,685.6549,2.24157,1.0133247,10.346135,448,0.0302
3977050728669175040,,,,,,,,,,,
4062446910648807168,4650.3584,4.5633,6.3341,0.4032,0.7814,39.9162,0.25892374,0.74542683,13.334204,397,1e-04
4098446119569242752,4981.66,4.5099,5.7631,0.0085,0.8445,201.4226,0.39935768,,,406,0.1536
4105386688016878336,3644.9595,4.658,8.6155,-0.0338,0.5666,16.9185,0.052036054,,,292,1e-04
4263427117767106816,6596.6226,4.145,3.1402,-0.4426,1.5508,723.7119,4.4124794,1.3607687,2.1221316,238,0.7852
4285571659911185280,3627.7039,4.765,8.989,-0.1474,0.4771,413.7903,0.03981563,,,,0.774
223158499176634112,,,,,,,,,,,
224870713661948288,,,,,,,,,,,
297045096447719040,5960.836,4.1944,3.7336,-0.3837,1.4419,44.7022,2.3515975,1.082729,6.9978843,376,1e-04
356348286886230272,6245.1133,4.2744,3.7932,-0.2559,1.2718,283.3834,2.2137954,1.1745554,2.8757854,243,0.0719
362706006713454208,4792.4673,2.9115,1.9109,-0.2525,5.5377,58.3336,14.5967045,1.2135265,5.889706,787,1e-04
2132666633603904256,5425.9985,4.5825,5.388,0.0552,0.8147,435.0795,0.5312397,0.940007,,102,0.1339
2133132276778226176,5477.4966,4.3631,4.6487,-0.0484,1.1189,975.0942,0.79016596,0.95592093,6.4001126,353,0.0525
2133584309198180736,5983.59,3.9583,2.9185,0.2053,2.0491,964.3408,4.0841126,1.2047162,5.1736403,414,0.2282
2134766460297292032,5019.988,3.7537,3.701,-0.0155,2.1417,2038.0969,2.6229336,1.0101283,11.137414,488,0.0049
2135019107451751168,5654.0405,4.1419,3.7211,-0.4135,1.6208,854.5682,2.435967,1.0360851,9.5486,449,0.0064
2135179533070399232,5982.1313,4.1976,4.1422,-0.5803,1.1916,334.9069,1.6591549,1.066086,5.5408874,322,0.0016
2135305805109041152,6096.451,4.3824,4.4227,-0.8344,1.0174,1131.3829,1.5436466,1.1279786,1.8688198,190,0.2781
2139082524468869248,6256.606,4.2047,3.5338,-0.0109,1.4154,473.1385,2.793157,1.2114478,3.452802,278,0.0025
2143758128946411904,4416.72,4.5204,6.6337,-0.1055,0.7896,564.4838,0.18497504,,,376,0.0212
2154880616774131840,3352.192,4.8588,10.0997,-0.1016,0.3724,3.522,0.016037583,,,,0.0
